brand,founded_year,creative_director,ceo,city,country,headquarters,website,notes
A.L.C.,2009,Andrea Lieberman,Andrea Lieberman,Los Angeles,USA,"Los Angeles, California, USA",https://alcltd.com,Unknown
alice + olivia,2002,Stacey Bendet,Stacey Bendet,New York,USA,"New York, New York, USA",https://www.aliceandolivia.com,Unknown
Acler,2015,Kathryn Forth,Julia Sumner,Adelaide,Australia,"Adelaide, Australia",https://acler.com.au,Unknown
Adam Lippes,2004,Adam Lippes,Marco Probst,New York,USA,"New York, New York, USA",https://adamlippes.com,Unknown
Alaïa,1964,Pieter Mulier,Alaa AbuSiam,Paris,France,"Paris, France",https://www.maison-alaia.com,Unknown
Altuzarra,2008,Joseph Altuzarra,Marta Lastra,New York,USA,"New York, New York, USA",https://altuzarra.com,Unknown
Amsale,1985,Sarah Swann,Neil Brown,New York,USA,"New York, New York, USA",https://amsale.com,Unknown
Balmain,1945,Antonin Tron,Matteo Sgarbossa,Paris,France,"Paris, France",https://www.balmain.com,Unknown
Brandon Maxwell,2015,Brandon Maxwell,Brandon Maxwell,New York,USA,"New York, New York, USA",https://brandonmaxwellonline.com,Unknown
Brunello Cucinelli,1978,Brunello Cucinelli,Brunello Cucinelli,Solomeo,Italy,"Solomeo, Italy",https://www.brunellocucinelli.com,Unknown
Carolina Herrera,1981,Wes Gordon,Carolina Herrera,New York,USA,"New York, New York, USA",https://www.carolinaherrera.com,Unknown
Cult Gaia,2012,Jasmin Larian,Jasmin Larian,Los Angeles,USA,"Los Angeles, California, USA",https://cultgaia.com,Unknown
DÔEN,2016,Margaret Kleveland,Margaret Kleveland,Los Angeles,USA,"Los Angeles, California, USA",https://shopdoen.com,Unknown
Giorgio Armani,1975,Giorgio Armani,Giorgio Armani,Milan,Italy,"Milan, Italy",https://www.armani.com,Unknown
Givenchy,1952,Sarah Burton,Hubert de Givenchy,Paris,France,"Paris, France",https://www.givenchy.com,Unknown
Halston,1968,Ken Downing,Roy Halston Frowick,New York,USA,"New York, New York, USA",https://halston.com,Unknown
Jacquemus,2009,Simon Porte Jacquemus,Simon Porte Jacquemus,Paris,France,"Paris, France",https://www.jacquemus.com,Unknown
Khaite,2016,Catherine Holstein,Catherine Holstein,New York,USA,"New York, New York, USA",https://khaite.com,Unknown
LoveShackFancy,2013,Rebecca Hessel Cohen,Rebecca Hessel Cohen,New York,USA,"New York, New York, USA",https://loveshackfancy.com,Unknown
McQueen,1992,Seán McGirr,Lee Alexander McQueen,London,United Kingdom,"London, England, UK",https://www.alexandermcqueen.com,Unknown
