brand,product_name,full_price_usd,sale_price_usd,image_url
As It May,Emery Beaded Tweed Minidress,$398,$300,/static/images/emery_beaded_tweed_minidress.jpg
Cinq à Sept,Marcie Cross-Front Halter Midi-Dress,$495,$300,/static/images/marcie_crossfront_halter_mididress.jpg
Versace,Gathered Silk Satin Cocktail Minidress,"$4,990","$4,990",/static/images/gathered_silk_satin_cocktail_minidress.jpg
Bride Attire,Bridal Dresses,,,/static/images/bridal_dresses.jpg
Cinq à Sept,Iris Satine Embellished Sheath Minidress,$995,$597,/static/images/iris_satine_embellished_sheath_minidress.jpg
Mac Duggal,Imitation Pearl-Embellished Beaded Minidress,$498,$235,/static/images/imitation_pearlembellished_beaded_minidress.jpg
Elliatt,Sutton Embellished Floral Appliqué Minidress,$235,$164.50,/static/images/sutton_embellished_floral_applique_minidress.jpg
SIMKHAI,Lace Appliqué A-Line Minidress,$895,$358,/static/images/lace_applique_aline_minidress.jpg
Amsale,Bow-Back Mikado Satin Bridal Dress,$550,$300,/static/images/bowback_mikado_satin_bridal_dress.jpg
LaPointe,Satin Feather-Cuff Shift Dress,"$1,850",$300,/static/images/satin_feathercuff_shift_dress.jpg
Milly,Arianna Tulle Flower Beaded Dress,"$1,095",$300,/static/images/arianna_tulle_flower_beaded_dress.jpg
Chiara Boni La Petite Robe,Imera Laser Cut Peplum Gown,"$1,130",$300,/static/images/imera_laser_cut_peplum_gown.jpg
Ramy Brook,Kris Strapless Balloon Minidress,$495,$297,/static/images/kris_strapless_balloon_minidress.jpg
Staud,Las Palmas Beaded Minidress,"$1,595",$300,/static/images/las_palmas_beaded_minidress.jpg
Zimmermann,Rebellion Corded Ramie Gown,"$3,075",$895,/static/images/rebellion_corded_ramie_gown.jpg
Area,Crystal Knot Draped Midi-Dress,$895,$300,/static/images/crystal_knot_draped_mididress.jpg
SACHIN BABI,Daphne Embellished-Tweed Strapless Minidress,$995,$300,/static/images/daphne_embellishedtweed_strapless_minidress.jpg
Staud,Wells Cotton Poplin A-Line Midi-Dress,$285,$300,/static/images/wells_cotton_poplin_aline_mididress.jpg
Zimmermann,Patience Floral Linen Midi-Dress,$995,$995,/static/images/patience_floral_linen_mididress.jpg
Oscar de la Renta,Slubby Tweed Belted Column Day Dress,"$4,890","$2,750",/static/images/slubby_tweed_belted_column_day_dress.jpg
Zimmermann,Rebellion Filigree Linen-Silk Corset Minidress,"$2,750",$298,/static/images/rebellion_filigree_linensilk_corset_minidress.jpg
Hill House Home,The Fiona Dress,$298,$695,/static/images/the_fiona_dress.jpg
SIMKHAI,Annalise Lace Strapless Midi-Dress,$695,"$1,200",/static/images/annalise_lace_strapless_mididress.jpg
Toteme,Satin V-Neck Slip Dress,"$1,200","$1,850",/static/images/satin_vneck_slip_dress.jpg
Zimmermann,Luna Linen-Silk Corset A-Line Midi-Dress,"$1,850","$1,850",/static/images/luna_linensilk_corset_aline_mididress.jpg
ALICE + OLIVIA,Tara Twisting Vines Slipdress,$495,$300,/static/images/tara_twisting_vines_slipdress.jpg
Mac Duggal,Embellished Floral Lace Strapless Bustier Gown,$598,$995,/static/images/embellished_floral_lace_strapless_bustier_gown.jpg
SIMKHAI,Novelle Floral Lace Minidress,$995,$368,/static/images/novelle_floral_lace_minidress.jpg
Dress The Population,Amity Paillette Floral Appliqué Strapless Minidress,$368,$300,/static/images/amity_paillette_floral_applique_strapless_minidress.jpg
Cinq à Sept,Cambree Belted Denim Midi-Dress,$495,$300,/static/images/cambree_belted_denim_mididress.jpg
SIMKHAI,Brionne Scalloped Knit Midi-Dress,$795,$795,/static/images/brionne_scalloped_knit_mididress.jpg
Dress The Population,Sophia Lace Long-Sleeve Midi-Dress,$288,$300,/static/images/sophia_lace_longsleeve_mididress.jpg
Staud,Wylie Stretch-Cotton Midi-Dress,$345,$300,/static/images/wylie_stretchcotton_mididress.jpg
Balmain,Quilted Compact Knit Minidress,"$2,990","$1,290",/static/images/quilted_compact_knit_minidress.jpg
Victoria Beckham,Satin Twist Shoulder Midi-Dress,"$1,290",$300,/static/images/satin_twist_shoulder_mididress.jpg
Theia,Zara Draped Shawl Column Dress,$695,$300,/static/images/zara_draped_shawl_column_dress.jpg
Generation Love,Makaia 3D Butterfly Lace Midi-Dress,$485,$300,/static/images/makaia_3d_butterfly_lace_mididress.jpg
Up to $300 Off with Code MAYGET,Designer Bridal Dresses | Saks Fifth Avenue,,,/static/images/designer_bridal_dresses__saks_fifth_avenue.jpg
Cinq à Sept,Maeva Belted Drop-Waist Minidress,$445,$300,/static/images/maeva_belted_dropwaist_minidress.jpg
Carolina Herrera,Resort Floral Embroidered Cotton Shirtdress,"$2,490","$3,990",/static/images/resort_floral_embroidered_cotton_shirtdress.jpg
Oscar de la Renta,Cyclamen Short-Sleeve Fit & Flare Dress,"$3,990",$350,/static/images/cyclamen_shortsleeve_fit_and_flare_dress.jpg
Milly,Linen A-Line Midi-Dress,$350,$300,/static/images/linen_aline_mididress.jpg
Milly,Petunia Lace Organza Gown,$795,$300,/static/images/petunia_lace_organza_gown.jpg
L'AGENCE,Karma Sequin Maxi Dress,$875,$875,/static/images/karma_sequin_maxi_dress.jpg
Zimmermann,Alchemy Poplin Maxi Dress,"$2,500",$595,/static/images/alchemy_poplin_maxi_dress.jpg
Milly,Myla 3D Floral-Embroidered Minidress,$595,$300,/static/images/myla_3d_floralembroidered_minidress.jpg
Staud,Grier Lace-Trim T-Shirt Dress,$345,$300,/static/images/grier_lacetrim_tshirt_dress.jpg
Cinq à Sept,Jaclyn Lace-Pocket Denim Minidress,$465,$300,/static/images/jaclyn_lacepocket_denim_minidress.jpg
Balmain,Buttoned Knit Tweed Minidress,"$2,850","$1,880",/static/images/buttoned_knit_tweed_minidress.jpg
Isabel Marant,Delvine Cotton Lace Slipdress,"$1,880","$1,880",/static/images/delvine_cotton_lace_slipdress.jpg
Altuzarra,Noor Sequined Draped Cocktail Dress,"$2,995",$300,/static/images/noor_sequined_draped_cocktail_dress.jpg
Balmain,Tweed Fit & Flare Minidress,"$3,490","$1,550",/static/images/tweed_fit_and_flare_minidress.jpg
Zimmermann,Rebellion Corded Corset Minidress,"$1,550",$795,/static/images/rebellion_corded_corset_minidress.jpg
Milly,Norelle Lace Strapless Maxi Dress,$795,$300,/static/images/norelle_lace_strapless_maxi_dress.jpg
Misa Los Angeles,Maxine Jacquard Minidress,$345,$300,/static/images/maxine_jacquard_minidress.jpg
Carolina Herrera,Floral Appliqué Halter Cocktail Dress,"$3,290","$3,290",/static/images/floral_applique_halter_cocktail_dress.jpg
Johanna Ortiz,Aurora Wildly Beautiful Maxi Dress,"$1,995",$300,/static/images/aurora_wildly_beautiful_maxi_dress.jpg
Cinq à Sept,Jerome Tie-Waist A-Line Midi-Dress,$445,$300,/static/images/jerome_tiewaist_aline_mididress.jpg
Balmain,Cotton Poplin Fit & Flare Minidress,"$1,990",$995,/static/images/cotton_poplin_fit_and_flare_minidress.jpg
SIMKHAI,Valletta Bustier Midi-Dress,$995,$495,/static/images/valletta_bustier_mididress.jpg
Milly,Mena Knit Midi-Dress,$495,$300,/static/images/mena_knit_mididress.jpg
Cinq à Sept,Lucilla Pleated Crepe Minidress,$445,$300,/static/images/lucilla_pleated_crepe_minidress.jpg
SIMKHAI,Nattie Textured Bubble Minidress,$495,$890,/static/images/nattie_textured_bubble_minidress.jpg
Ulla Johnson,Lakshmi Eyelet Maxi Dress,$890,"$3,090",/static/images/lakshmi_eyelet_maxi_dress.jpg
Oscar de la Renta,Oscar Chain-Detail Cotton Flounce-Hem Minidress,"$3,090","$1,195",/static/images/oscar_chaindetail_cotton_flouncehem_minidress.jpg
SACHIN BABI,Allison Embroidered Satin Fit & Flare Midi-Dress,"$1,195",$300,/static/images/allison_embroidered_satin_fit_and_flare_mididress.jpg
Butterfly Cut-Out Embellished Strapless Scuba,Cocktail Dress,$475,$300,/static/images/cocktail_dress.jpg
Milly,Anna Grand Fleur Evening Dress,$850,$300,/static/images/anna_grand_fleur_evening_dress.jpg
Elie Tahari,The Jan Pleated Midi-Sweaterdress,$325,$300,/static/images/the_jan_pleated_midisweaterdress.jpg
ALICE + OLIVIA,Henrietta Belted Faux-Leather Minidress,$495,$300,/static/images/henrietta_belted_fauxleather_minidress.jpg
Mac Duggal,Sequined Asymmetric Gown,$398,$845,/static/images/sequined_asymmetric_gown.jpg
SIMKHAI,Ziva Embellished Minidress,$845,$595,/static/images/ziva_embellished_minidress.jpg
Ramy Brook,Zelda Floral Burnout Halter Maxi Dress,$595,$300,/static/images/zelda_floral_burnout_halter_maxi_dress.jpg
Altuzarra,Nelly Floral-Embroidered Mesh Knit Maxi Dress,"$1,495",$300,/static/images/nelly_floralembroidered_mesh_knit_maxi_dress.jpg
SIMKHAI,Annette Tie-Waist Cape Gown,"$1,295",$465,/static/images/annette_tiewaist_cape_gown.jpg
Generation Love,Isabel Embellished Strapless Crepe Minidress,$465,$300,/static/images/isabel_embellished_strapless_crepe_minidress.jpg
Mac Duggal,Floral Embroidered Linen Strapless Trapeze Gown,$558,$385,/static/images/floral_embroidered_linen_strapless_trapeze_gown.jpg
Milly,Paillette Sequined Crochet Cover-Up Minidress,$385,$300,/static/images/paillette_sequined_crochet_coverup_minidress.jpg
Cinq à Sept,Nova Short-Sleeve Denim Minidress,$395,$595,/static/images/nova_shortsleeve_denim_minidress.jpg
Toccin,Fleur Mixed-Media Midi-Dress,$595,$300,/static/images/fleur_mixedmedia_mididress.jpg
Amur,Calypso Lace Halter Midi-Dress,$698,$300,/static/images/calypso_lace_halter_mididress.jpg
Shoshanna,Remington Strapless Cocktail Dress,$635,$300,/static/images/remington_strapless_cocktail_dress.jpg
Staud,Gwen Cotton Poplin A-Line Minidress,$345,$300,/static/images/gwen_cotton_poplin_aline_minidress.jpg
Marella,Embroidered Poplin Dress,$555,$798,/static/images/embroidered_poplin_dress.jpg
Veronica Beard,Teresia Lace Minidress,$798,"$1,798",/static/images/teresia_lace_minidress.jpg
Bow-Detail Bead-Embellished Organza Strapless,Gown,"$1,798","$1,798",/static/images/gown.jpg
Toteme,Sculpted Cotton Maxi Dress,"$1,180",$348,/static/images/sculpted_cotton_maxi_dress.jpg
Dress The Population,Fall Francesca Cocktail Minidress,$348,$300,/static/images/fall_francesca_cocktail_minidress.jpg
Self-Portrait,Satin Georgette Lace-Trimmed Maxi Dress,$780,"$6,200",/static/images/satin_georgette_lacetrimmed_maxi_dress.jpg
Valentino Garavani,Embroidered Crepe Couture Short Dress,"$6,200",$495,/static/images/embroidered_crepe_couture_short_dress.jpg
Nicholas the Label,Vicky Pleated Linen-Blend Midi-Dress,$495,$300,/static/images/vicky_pleated_linenblend_mididress.jpg
Staud,Josie Floral Jacquard Midi-Shiftdress,$695,$300,/static/images/josie_floral_jacquard_midishiftdress.jpg
Hervé Léger,The Champagne Bandage Minidress,$395,$300,/static/images/the_champagne_bandage_minidress.jpg
Et Ochs,Selena Ruched Strapless Gown,$598,$300,/static/images/selena_ruched_strapless_gown.jpg
Cinq à Sept,Zelda Belted Midi-Dress,$425,"$2,225",/static/images/zelda_belted_mididress.jpg
Erdem,Appliqué Cotton Midi-Shirtdress,"$2,225",$300,/static/images/applique_cotton_midishirtdress.jpg
Toteme,Slouch Cotton-Linen Shirtdress,$720,$298,/static/images/slouch_cottonlinen_shirtdress.jpg
Shoshanna,Floral Cotton-Blend Mini-Shirtdress,$298,$300,/static/images/floral_cottonblend_minishirtdress.jpg
SIGN UP FOR DAILY EMAILS,Enter Your Email Address,,,/static/images/enter_your_email_address.jpg
Stella McCartney,Sculpted Column Gown,"$2,400","$1,125",/static/images/sculpted_column_gown.jpg
Zimmermann,Luna Tiered Lace Frill Minidress,"$1,125","$1,125",/static/images/luna_tiered_lace_frill_minidress.jpg
Milly,Ariel Cady 3D Lace Minidress,$450,$300,/static/images/ariel_cady_3d_lace_minidress.jpg
Bronx Banco,Chloe Embroidered Strapless Minidress,"$1,100",$300,/static/images/chloe_embroidered_strapless_minidress.jpg
Zhivago,Dream Of That Strapless Floral Applique Gown,"$1,125",$300,/static/images/dream_of_that_strapless_floral_applique_gown.jpg
Brunello Cucinelli,Viscose And Linen Fluid Twill Mini Dress,"$2,500",$425,/static/images/viscose_and_linen_fluid_twill_mini_dress.jpg
A.L.C.,Sophia Shift Halterneck Minidress,$425,"$1,295",/static/images/sophia_shift_halterneck_minidress.jpg
SIMKHAI,Alicia Lace Midi-Dress,"$1,295",$890,/static/images/alicia_lace_mididress.jpg
Chiara Boni La Petite Robe,Alima Wrap Peplum Midi-Dress,$890,$300,/static/images/alima_wrap_peplum_mididress.jpg
Oscar de la Renta,Point D'Esprit Strapless Ballgown,"$18,990",$950,/static/images/point_desprit_strapless_ballgown.jpg
Zhivago,Odette Floral Applique Tea-Length Dress,$950,$300,/static/images/odette_floral_applique_tealength_dress.jpg
3.1 Phillip Lim,Floral-Appliquéd Layered Midi-Dress,$995,$300,/static/images/floralappliqued_layered_mididress.jpg
Mac Duggal,Petite High-Low Bubble Hem Satin Gown,$598,$425,/static/images/petite_highlow_bubble_hem_satin_gown.jpg
Milly,Haddy Pleated Midi-Dress,$425,$300,/static/images/haddy_pleated_mididress.jpg
